,,Struggling Index,Suffering Index,Thriving Index,Health Problems,Health Problems,Health Problems,Health Problems,Count On to Help,Count On to Help,Count On to Help,Count On to Help,Experience Calmness Yesterday,Experience Calmness Yesterday,Experience Calmness Yesterday,Experience Calmness Yesterday,Feel at Peace With Life,Feel at Peace With Life,Feel at Peace With Life,Feel at Peace With Life,Exciting Life or Calm Life,Exciting Life or Calm Life,Exciting Life or Calm Life,Exciting Life or Calm Life,Exciting Life or Calm Life,Exciting Life or Calm Life,Various Aspects of Life in Balance,Various Aspects of Life in Balance,Various Aspects of Life in Balance,Various Aspects of Life in Balance,Main Purpose in Life,Main Purpose in Life,Main Purpose in Life,Main Purpose in Life,Main Purpose in Life,Main Purpose in Life,Main Purpose in Life,Focus on Taking Care of Themselves or Taking Care of Others,Focus on Taking Care of Themselves or Taking Care of Others,Focus on Taking Care of Themselves or Taking Care of Others,Focus on Taking Care of Themselves or Taking Care of Others,Focus on Taking Care of Themselves or Taking Care of Others,Focus on Taking Care of Themselves or Taking Care of Others,Enjoy the Work You Do Every Day,Enjoy the Work You Do Every Day,Enjoy the Work You Do Every Day,Enjoy the Work You Do Every Day,Work Significantly Improves the Lives of Others Outside of Household,Work Significantly Improves the Lives of Others Outside of Household,Work Significantly Improves the Lives of Others Outside of Household,Work Significantly Improves the Lives of Others Outside of Household,Many Choices in Type of Work,Many Choices in Type of Work,Many Choices in Type of Work,Many Choices in Type of Work
,,Rate,Rate,Rate,Yes,No,(DK),(Refused),Yes,No,(DK),(Refused),Yes,No,(DK),(Refused),Yes,No,(DK),(Refused),An exciting life,A calm life,(Both),(Neither),(DK),(Refused),Yes,No,(DK),(Refused),Being good at what you doï¿½in your daily life,Caring for family and close friends,Helping other people who need help,(None of these),(I do not know my purpose in life),(DK),(Refused),Taking care of themselves,Taking care of others,(Both),(Neither),(DK),(Refused),Yes,No,(DK),(Refused),Yes,No,(DK),(Refused),Yes,No,(DK),(Refused)
,,% Response Rate ,% Response Rate ,% Response Rate ,% Response Rate ,% Response Rate ,% Response Rate ,% Response Rate ,% Response Rate ,% Response Rate ,% Response Rate ,% Response Rate ,% Response Rate ,% Response Rate ,% Response Rate ,% Response Rate ,% Response Rate ,% Response Rate ,% Response Rate ,% Response Rate ,% Response Rate ,% Response Rate ,% Response Rate ,% Response Rate ,% Response Rate ,% Response Rate ,% Response Rate ,% Response Rate ,% Response Rate ,% Response Rate ,% Response Rate ,% Response Rate ,% Response Rate ,% Response Rate ,% Response Rate ,% Response Rate ,% Response Rate ,% Response Rate ,% Response Rate ,% Response Rate ,% Response Rate ,% Response Rate ,% Response Rate ,% Response Rate ,% Response Rate ,% Response Rate ,% Response Rate ,% Response Rate ,% Response Rate ,% Response Rate ,% Response Rate ,% Response Rate ,% Response Rate ,% Response Rate ,% Response Rate 
Age,15-24,52.1%,4.4%,43.5%,9.0%,91.0%,0.1%,0.0%,91.0%,8.5%,0.4%,0.1%,76.0%,23.4%,0.5%,0.1%,82.1%,17.2%,0.7%,0.0%,33.7%,60.5%,4.9%,0.4%,0.5%,0.0%,70.0%,28.9%,1.0%,0.1%,32.5%,42.4%,21.8%,1.6%,0.6%,0.9%,0.1%,51.7%,33.9%,13.7%,0.2%,0.5%,0.0%,79.3%,19.7%,0.9%,0.1%,68.9%,29.9%,1.0%,0.2%,70.2%,29.1%,0.6%,0.1%
,25-34,51.2%,6.5%,42.3%,10.7%,89.2%,0.1%,0.0%,86.1%,13.4%,0.5%,0.0%,74.1%,25.1%,0.8%,0.1%,81.9%,17.0%,1.0%,0.1%,24.6%,68.6%,5.8%,0.3%,0.6%,0.1%,68.6%,29.7%,1.5%,0.1%,28.3%,52.6%,16.8%,0.9%,0.4%,0.9%,0.1%,50.5%,33.1%,15.3%,0.4%,0.6%,0.1%,80.9%,17.8%,1.1%,0.2%,74.1%,24.6%,1.2%,0.1%,69.2%,29.9%,0.8%,0.1%
,35-44,51.8%,7.9%,40.3%,15.3%,84.6%,0.1%,0.0%,84.1%,15.0%,0.8%,0.0%,74.3%,25.0%,0.7%,0.0%,83.7%,15.2%,1.0%,0.1%,16.9%,76.3%,5.7%,0.4%,0.6%,0.1%,72.5%,25.7%,1.6%,0.2%,23.6%,60.1%,13.5%,1.0%,0.5%,1.2%,0.2%,48.0%,34.9%,15.7%,0.3%,0.8%,0.2%,84.5%,14.1%,1.2%,0.2%,76.8%,21.5%,1.6%,0.1%,65.8%,32.9%,1.2%,0.1%
,45-64,52.7%,10.2%,37.1%,27.4%,72.1%,0.4%,0.0%,83.4%,15.5%,1.0%,0.0%,78.5%,20.7%,0.7%,0.1%,84.3%,14.2%,1.4%,0.1%,13.4%,81.2%,4.4%,0.4%,0.5%,0.0%,74.8%,22.8%,2.2%,0.2%,23.6%,57.2%,15.2%,1.6%,0.7%,1.6%,0.2%,44.2%,35.3%,19.0%,0.5%,0.9%,0.1%,86.1%,12.6%,1.1%,0.3%,78.7%,19.1%,2.0%,0.2%,59.1%,39.5%,1.3%,0.1%
,65+,55.2%,9.7%,35.1%,39.8%,59.6%,0.6%,0.1%,87.6%,11.9%,0.6%,0.0%,83.4%,15.7%,0.8%,0.1%,89.1%,9.7%,1.2%,0.1%,10.4%,84.2%,4.2%,0.4%,0.7%,0.1%,81.7%,15.0%,2.9%,0.3%,22.7%,53.7%,17.5%,2.9%,0.6%,2.4%,0.3%,40.7%,36.3%,20.2%,0.7%,1.9%,0.2%,89.1%,9.0%,1.6%,0.3%,75.8%,20.6%,3.3%,0.2%,60.1%,38.0%,1.8%,0.1%
Gender,Male,52.7%,8.9%,38.3%,17.7%,82.0%,0.3%,0.0%,84.9%,14.2%,0.9%,0.0%,78.3%,20.8%,0.8%,0.1%,84.2%,14.8%,0.9%,0.1%,21.8%,71.8%,5.1%,0.5%,0.8%,0.1%,73.0%,25.1%,1.6%,0.2%,27.0%,52.4%,16.6%,1.7%,0.6%,1.4%,0.2%,47.8%,35.0%,15.8%,0.4%,0.9%,0.2%,82.9%,15.7%,1.2%,0.2%,75.3%,22.9%,1.7%,0.1%,66.4%,32.4%,1.1%,0.1%
,Female,52.2%,6.9%,40.8%,23.6%,76.1%,0.3%,0.0%,87.1%,12.3%,0.6%,0.0%,76.0%,23.3%,0.7%,0.1%,84.0%,14.7%,1.3%,0.1%,16.7%,77.7%,4.9%,0.3%,0.4%,0.1%,73.8%,23.9%,2.1%,0.2%,24.8%,55.0%,16.6%,1.4%,0.6%,1.3%,0.2%,46.0%,34.5%,18.2%,0.4%,0.9%,0.1%,84.6%,14.1%,1.0%,0.2%,76.0%,22.1%,1.6%,0.2%,62.3%,36.4%,1.2%,0.1%
Employment Status,Employed full time for an employer,48.0%,5.8%,46.2%,11.7%,88.1%,0.2%,0.0%,89.0%,10.2%,0.8%,0.0%,77.4%,22.2%,0.4%,0.1%,86.5%,12.5%,0.9%,0.1%,21.8%,71.5%,5.7%,0.3%,0.7%,0.1%,76.5%,22.1%,1.2%,0.1%,27.5%,56.8%,12.9%,1.2%,0.4%,1.0%,0.1%,47.1%,36.3%,15.5%,0.4%,0.7%,0.1%,83.3%,15.5%,1.0%,0.2%,76.5%,22.1%,1.3%,0.1%,64.8%,34.0%,1.1%,0.1%
,Employed full time for self,55.9%,8.4%,35.6%,16.4%,83.2%,0.3%,0.0%,82.8%,16.4%,0.8%,0.0%,75.6%,23.3%,1.0%,0.1%,83.4%,15.7%,0.9%,0.1%,18.1%,75.7%,5.1%,0.6%,0.5%,0.0%,72.3%,26.0%,1.5%,0.2%,26.6%,52.1%,18.5%,1.1%,0.4%,1.1%,0.1%,49.6%,31.5%,17.8%,0.3%,0.6%,0.1%,85.0%,13.8%,0.9%,0.3%,76.8%,21.1%,1.9%,0.2%,66.1%,33.1%,0.7%,0.1%
,Employed part time do not want full time,46.9%,5.2%,47.9%,19.3%,80.2%,0.3%,0.1%,91.6%,7.9%,0.5%,0.0%,79.6%,19.2%,1.1%,0.1%,87.5%,11.3%,1.0%,0.2%,20.9%,72.8%,5.2%,0.6%,0.5%,0.0%,78.2%,19.8%,1.8%,0.3%,26.6%,51.5%,18.0%,1.4%,0.8%,1.2%,0.4%,45.9%,37.2%,14.8%,0.7%,1.1%,0.3%,86.0%,12.2%,1.4%,0.4%,72.3%,24.8%,2.6%,0.4%,63.3%,34.3%,2.3%,0.1%
,Unemployed,61.0%,12.2%,26.7%,18.7%,81.2%,0.1%,0.0%,75.7%,23.5%,0.8%,0.0%,69.7%,29.3%,0.9%,0.1%,72.5%,26.4%,1.0%,0.1%,22.0%,72.2%,4.6%,0.4%,0.7%,0.0%,57.8%,39.8%,2.1%,0.4%,23.9%,50.4%,22.0%,1.1%,0.8%,1.5%,0.3%,48.3%,33.0%,17.6%,0.2%,0.8%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
,Employed part time want full time,56.8%,11.4%,31.8%,20.0%,79.9%,0.1%,0.0%,81.8%,17.5%,0.6%,0.1%,75.7%,23.2%,1.0%,0.0%,80.0%,18.9%,1.0%,0.0%,21.6%,73.2%,4.4%,0.5%,0.3%,0.0%,65.9%,32.2%,1.8%,0.1%,26.8%,47.4%,22.1%,1.4%,0.6%,1.4%,0.3%,48.4%,33.9%,16.8%,0.2%,0.6%,0.1%,81.0%,17.1%,1.7%,0.2%,72.2%,25.4%,2.3%,0.2%,63.7%,35.4%,0.8%,0.1%
,Out of workforce,54.5%,9.0%,36.5%,31.4%,68.2%,0.4%,0.0%,85.8%,13.5%,0.7%,0.0%,78.7%,20.4%,0.8%,0.1%,84.3%,14.1%,1.5%,0.1%,15.8%,78.9%,4.4%,0.4%,0.6%,0.1%,74.4%,22.8%,2.5%,0.2%,24.2%,53.3%,17.5%,2.2%,0.8%,1.8%,0.2%,45.5%,34.1%,18.5%,0.5%,1.3%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Per Capita Income Quintiles,Poorest 20%,56.4%,12.9%,30.8%,26.8%,72.8%,0.4%,0.1%,79.4%,19.6%,1.0%,0.0%,74.2%,24.8%,1.0%,0.0%,78.5%,20.0%,1.4%,0.1%,17.2%,76.8%,4.8%,0.4%,0.8%,0.0%,67.1%,30.4%,2.1%,0.4%,21.7%,54.4%,18.8%,2.3%,0.8%,1.7%,0.2%,46.1%,34.4%,17.7%,0.6%,1.0%,0.2%,80.1%,18.2%,1.3%,0.4%,71.8%,25.5%,2.4%,0.2%,61.6%,36.9%,1.3%,0.2%
,Second 20%,56.7%,9.8%,33.4%,24.2%,75.5%,0.3%,0.0%,83.9%,15.4%,0.7%,0.0%,75.9%,23.2%,0.8%,0.0%,82.8%,15.9%,1.3%,0.1%,16.6%,77.8%,4.6%,0.4%,0.5%,0.1%,71.9%,25.6%,2.2%,0.2%,22.6%,57.0%,16.6%,1.4%,0.6%,1.5%,0.2%,46.1%,35.2%,17.2%,0.4%,1.1%,0.1%,83.4%,15.2%,1.3%,0.1%,75.4%,22.7%,1.7%,0.2%,62.3%,36.4%,1.2%,0.1%
,Middle 20%,52.9%,7.9%,39.2%,20.2%,79.6%,0.2%,0.0%,87.3%,12.1%,0.5%,0.1%,77.1%,22.1%,0.7%,0.1%,84.4%,14.3%,1.2%,0.0%,17.9%,76.5%,4.6%,0.4%,0.4%,0.0%,73.2%,24.4%,2.1%,0.2%,25.1%,54.8%,16.7%,1.2%,0.5%,1.4%,0.2%,47.1%,34.4%,17.2%,0.4%,0.9%,0.1%,83.0%,15.4%,1.4%,0.2%,77.1%,21.4%,1.3%,0.2%,64.4%,34.7%,0.9%,0.1%
,Fourth 20%,50.4%,5.4%,44.2%,17.6%,82.2%,0.2%,0.0%,89.4%,10.0%,0.7%,0.0%,78.9%,20.4%,0.6%,0.1%,86.4%,12.5%,1.0%,0.1%,20.2%,73.8%,5.1%,0.4%,0.5%,0.1%,76.7%,22.0%,1.2%,0.1%,27.7%,53.1%,15.9%,1.4%,0.6%,1.2%,0.2%,48.2%,34.2%,16.2%,0.4%,0.8%,0.1%,85.7%,13.4%,0.8%,0.2%,76.2%,22.2%,1.5%,0.1%,64.8%,34.0%,1.2%,0.0%
,Richest 20%,46.3%,4.1%,49.6%,14.4%,85.4%,0.2%,0.0%,90.1%,9.2%,0.7%,0.0%,79.6%,19.8%,0.4%,0.2%,88.2%,11.0%,0.7%,0.1%,24.3%,68.8%,5.8%,0.4%,0.7%,0.1%,78.1%,20.2%,1.6%,0.1%,32.4%,49.2%,15.2%,1.4%,0.5%,1.2%,0.2%,46.9%,35.3%,16.5%,0.3%,0.8%,0.1%,84.8%,14.0%,1.0%,0.2%,76.6%,21.8%,1.5%,0.0%,69.1%,29.8%,1.1%,0.1%
Feelings About Household Income,Living comfortably on present income,36.5%,1.5%,62.0%,13.2%,86.6%,0.2%,0.0%,94.2%,5.5%,0.3%,0.0%,82.5%,16.9%,0.5%,0.1%,94.0%,5.3%,0.7%,0.1%,24.4%,68.7%,5.8%,0.4%,0.6%,0.1%,85.8%,13.0%,1.1%,0.1%,29.8%,53.6%,13.6%,1.3%,0.5%,1.1%,0.2%,43.5%,40.8%,14.2%,0.5%,0.9%,0.1%,91.1%,8.3%,0.4%,0.2%,79.1%,19.8%,1.0%,0.1%,73.6%,25.4%,0.9%,0.0%
,Getting by on present income,56.2%,5.3%,38.5%,19.5%,80.3%,0.2%,0.0%,89.6%,9.7%,0.7%,0.0%,79.7%,19.6%,0.6%,0.1%,87.1%,11.8%,1.0%,0.1%,18.0%,76.0%,5.1%,0.4%,0.5%,0.0%,77.7%,20.3%,1.8%,0.2%,26.7%,55.1%,14.7%,1.4%,0.6%,1.3%,0.1%,47.6%,33.4%,17.6%,0.3%,0.9%,0.1%,83.5%,15.1%,1.3%,0.2%,75.7%,22.5%,1.7%,0.1%,61.6%,37.1%,1.2%,0.1%
,Finding it difficult on present income,66.3%,15.2%,18.5%,28.3%,71.3%,0.3%,0.0%,77.8%,21.1%,1.0%,0.1%,69.9%,29.0%,1.0%,0.1%,73.7%,24.7%,1.5%,0.1%,16.5%,78.7%,3.9%,0.4%,0.5%,0.0%,59.3%,38.1%,2.5%,0.2%,22.2%,53.9%,20.1%,1.9%,0.5%,1.3%,0.1%,49.6%,30.3%,19.1%,0.4%,0.6%,0.0%,77.1%,21.1%,1.6%,0.3%,72.3%,25.4%,2.0%,0.2%,59.2%,39.8%,0.9%,0.1%
,Finding it very difficult on present income,60.6%,25.6%,13.9%,32.1%,67.7%,0.2%,0.0%,64.4%,34.3%,1.3%,0.0%,64.6%,34.1%,1.1%,0.1%,63.0%,35.2%,1.7%,0.1%,15.3%,79.7%,4.0%,0.5%,0.5%,0.0%,47.1%,50.0%,2.6%,0.3%,19.3%,49.0%,26.6%,1.9%,1.0%,1.8%,0.3%,48.7%,31.3%,18.4%,0.5%,1.0%,0.2%,69.6%,28.6%,1.6%,0.2%,69.6%,28.0%,2.3%,0.1%,58.4%,40.5%,0.9%,0.1%
Urban/Rural,A rural area or on a farm,52.1%,12.1%,35.8%,25.2%,74.3%,0.4%,0.0%,82.2%,16.8%,1.0%,0.0%,77.2%,21.8%,0.8%,0.1%,82.8%,15.7%,1.4%,0.1%,16.0%,78.8%,3.9%,0.5%,0.8%,0.1%,70.6%,26.1%,3.0%,0.3%,22.4%,54.7%,18.0%,2.1%,0.6%,1.9%,0.2%,44.8%,35.3%,18.2%,0.5%,1.1%,0.2%,83.8%,14.7%,1.3%,0.2%,75.0%,23.0%,1.9%,0.1%,64.2%,34.4%,1.3%,0.1%
,A small town or village,54.1%,7.7%,38.2%,21.7%,78.1%,0.3%,0.0%,87.3%,12.1%,0.6%,0.1%,78.2%,21.0%,0.7%,0.1%,84.5%,14.2%,1.2%,0.1%,17.6%,76.4%,5.0%,0.4%,0.5%,0.0%,74.8%,23.3%,1.7%,0.2%,24.8%,55.9%,15.7%,1.4%,0.7%,1.3%,0.2%,45.4%,35.8%,17.4%,0.4%,0.9%,0.1%,85.2%,13.5%,1.0%,0.2%,76.3%,21.8%,1.6%,0.2%,63.8%,35.0%,1.2%,0.1%
,A large city,51.9%,6.4%,41.7%,17.6%,82.1%,0.2%,0.0%,86.4%,12.9%,0.6%,0.0%,76.0%,23.3%,0.6%,0.1%,84.3%,14.7%,0.9%,0.1%,21.8%,71.8%,5.5%,0.3%,0.5%,0.0%,73.9%,24.4%,1.6%,0.1%,28.1%,51.1%,17.2%,1.4%,0.6%,1.3%,0.2%,49.2%,32.9%,16.6%,0.3%,0.9%,0.1%,83.7%,15.0%,1.1%,0.2%,75.5%,22.6%,1.6%,0.2%,65.3%,33.5%,1.1%,0.1%
,A suburb of a large city,50.3%,7.6%,42.1%,19.6%,80.2%,0.2%,0.0%,86.3%,12.9%,0.8%,0.0%,77.3%,21.9%,0.7%,0.1%,83.4%,15.4%,1.1%,0.1%,21.2%,72.6%,5.0%,0.6%,0.5%,0.1%,72.1%,26.4%,1.4%,0.2%,27.7%,52.9%,16.0%,1.6%,0.5%,1.1%,0.2%,47.7%,35.5%,15.4%,0.5%,0.8%,0.2%,79.3%,19.3%,1.3%,0.2%,74.6%,23.9%,1.4%,0.0%,66.2%,33.0%,0.8%,0.1%
